g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0.057692308,0.036231884,0.024128686,0.066666667,0.021428571,0.08411215,0.012145749,0.015384615,0,0,0.003557872,0.11015614,0.027031383,0.007175215,0.031086565,0.660273184,0.010280596,0.150439046,0,4.064549331,1.662757832
0,0.019230769,0.007246377,0.008042895,0.133333333,0.017857143,0.009345794,0.022267206,0.046153846,0,0,0.016678685,0.057570897,0.028270371,0.057193174,0.145472473,0.019469912,0.200605338,0.47473915,0,3.309317107,1.491361694
0.046511628,0,0.076086957,0.029490617,0.066666667,0.046428571,0,0.010121457,0.007692308,0,0.047073623,0,0.209045854,0.185674561,0.085253355,0.214823257,0,0.066131961,0.19199739,0,3.802341267,1.73239376
0,0,0,0,0.066666667,0.003571429,0,0.022267206,0.007692308,0,0,0,0,0,0.186272031,0.06438915,0,0.094144018,0.655194801,0,3.165330405,1.146128036
0,0,0.018115942,0.032171582,0.066666667,0.014285714,0.009345794,0.004048583,0.069230769,0,0,0,0.122810864,0.269891921,0.319182453,0.07943785,0.003462224,0.171045419,0.034169268,0,3.539826052,1.531478917
0.023255814,0,0.039855072,0.016085791,0,0.021428571,0.009345794,0.006072874,0.030769231,0,0.043130301,0,0.386477997,0.076785006,0,0.090656408,0.008277533,0.334691139,0.059981615,0,3.360852701,1.505149978
0.11627907,0,0.036231884,0.024128686,0.133333333,0.039285714,0,0.002024291,0.007692308,0,0.177177461,0,0.040992779,0.020114858,0.019033377,0.735280605,0,0.001661454,0.005739467,0,3.944161768,1.591064607
0,0,0.065217391,0.050938338,0.066666667,0.017857143,0.018691589,0.006072874,0.038461538,0,0,0,0.38275419,0.360451239,0.005586318,0.083427426,0.007312998,0.09860359,0.061864239,0,3.771388292,1.72427587
0.093023256,0.019230769,0.032608696,0.045576408,0.133333333,0.042857143,0.046728972,0.026315789,0.092307692,0,0.088809197,0.003157789,0.086844373,0.198480288,0.041780695,0.222160602,0.027755849,0.231977477,0.099033729,0,3.985201409,1.875061263
0,0,0.010869565,0.013404826,0.066666667,0.010714286,0,0,0.007692308,0,0,0,0.168785284,0.261748403,0.053445473,0.465634881,0,0.05038596,0,0,2.892745556,1.113943352
0.069767442,0,0.025362319,0.029490617,0.066666667,0.021428571,0,0.008097166,0,0,0.131991735,0,0.230581446,0.206983125,0.089391448,0.271279314,0,0,0.069772932,0,3.556384526,1.505149978
0,0.019230769,0.028985507,0.034852547,0.066666667,0.010714286,0,0.030364372,0.038461538,0,0,0.002656026,0.195590488,0.207816486,0.011897975,0.031502884,0,0.058387977,0.492148164,0,3.496933797,1.662757832
0.023255814,0,0.014492754,0.021447721,0.133333333,0.028571429,0,0.006072874,0,0,0.019246397,0,0.04139725,0.162597058,0.091626457,0.529380888,0,0,0.155751951,0,3.711285763,1.414973348
0,0,0.032608696,0.061662198,0.2,0.007142857,0.018691589,0.002024291,0.007692308,0,0,0,0.406269985,0.293107188,0.042688725,0.039049075,0.01178924,0.066709301,0.140386487,0,3.555880065,1.612783857
0,0,0.025362319,0.024128686,0.066666667,0.014285714,0,0.016194332,0.046153846,0,0,0,0.11774216,0.420174719,0.136485295,0.06828906,0,0.125660741,0.131648024,0,3.588632442,1.544068044
0.139534884,0,0.028985507,0.056300268,0.133333333,0.089285714,0,0.038461538,0.069230769,0.022222222,0.048604905,0,0.107901776,0.088161139,0.049574902,0.506260994,0,0.052200314,0.130288472,0.017007497,4.347884192,1.959041392
0,0,0.043478261,0.050938338,0.066666667,0.028571429,0,0.016194332,0.061538462,0,0,0,0.186849811,0.223829098,0.064687714,0.103007466,0,0.132818377,0.288807534,0,4.125355025,1.748188027
0,0,0.025362319,0.048257373,0,0.028571429,0,0.012145749,0.076923077,0.022222222,0,0,0.091184935,0.293154635,0,0.118171401,0,0.246682403,0.248956271,0.001850356,3.97627889,1.698970004
0,0,0.028985507,0.018766756,0.066666667,0.025,0.056074766,0.004048583,0.007692308,0,0,0,0.237669272,0.265129226,0.015656731,0.135472079,0.165898937,0.123510357,0.056663398,0,3.305123413,1.505149978
0,0,0.007246377,0.018766756,0.066666667,0.046428571,0.009345794,0,0,0,0,0,0.017002504,0.198509598,0.034895274,0.731564723,0.0180279,0,0,0,3.400727898,1.380211242
0.023255814,0,0.007246377,0.016085791,0.066666667,0.010714286,0,0.04048583,0.015384615,0,0.053486302,0,0.093866665,0.111632014,0.021538108,0.040046522,0,0.05977184,0.619658549,0,3.444943698,1.544068044
0.209302326,0.096153846,0.036231884,0.042895442,0.2,0.035714286,0.046728972,0.032388664,0.015384615,0,0.147132527,0.012679395,0.107583962,0.088861851,0.069600918,0.279526868,0.036877231,0.00946864,0.248268608,0,4.222314498,1.880813592
0.046511628,0,0.014492754,0.010723861,0.066666667,0.007142857,0,0.002024291,0.015384615,0,0.117527327,0,0.296928468,0.071538235,0.011801166,0.371777867,0,0.055004574,0.075422363,0,3.499551001,1.204119983
0.046511628,0.057692308,0.018115942,0.056300268,0.066666667,0.060714286,0.037383178,0.006072874,0.038461538,0,0.125904753,0.005155263,0.051067501,0.113632534,0.014643691,0.52482341,0.006148386,0.111361814,0.047262647,0,4.072295127,1.785329835
0.046511628,0.038461538,0.039855072,0.013404826,0.133333333,0.007142857,0,0.012145749,0.015384615,0.022222222,0.117392641,0.011056817,0.371089231,0.110055601,0.055425651,0.121063602,0,0.080536585,0.115073883,0.018305988,3.311438088,1.51851394
0,0,0.003623188,0.013404826,0,0,0,0.006072874,0.092307692,0,0,0,0.021591321,0.130331112,0,0,0,0.683876246,0.164201322,0,3.571516675,1.322219295
0.023255814,0,0.057971014,0.056300268,0.066666667,0.05,0.009345794,0.016194332,0.007692308,0,0.015397658,0,0.321055485,0.081745508,0.007819902,0.395583806,0.002329988,0.010359781,0.165707873,0,4.317491695,1.799340549
0,0.076923077,0.018115942,0.021447721,0.066666667,0.021428571,0.028037383,0.004048583,0,0,0,0.044597656,0.122295174,0.194329913,0.119239361,0.376381771,0.061084957,0,0.082071168,0,3.583430034,1.462397998
0,0.019230769,0.039855072,0.069705094,0.066666667,0.014285714,0,0.012145749,0,0,0,0.021192264,0.140715614,0.566272119,0.125828671,0.024753574,0,0,0.121237758,0,3.79688988,1.69019608
0,0,0,0.034852547,0.133333333,0.035714286,0.009345794,0.018218623,0.084615385,0,0,0,0,0.416382595,0.01095926,0.263754937,0.006783067,0.115131989,0.186988152,0,3.761416603,1.662757832
0,0.019230769,0.06884058,0.080428954,0.066666667,0.078571429,0.009345794,0.034412955,0.115384615,0,0,0.000640989,0.117852399,0.20917177,0.056405738,0.399746351,0.005343103,0.117536482,0.093303168,0,4.184375388,2.025305865
0.023255814,0,0.003623188,0,0,0,0,0.04048583,0.038461538,0,0.108918023,0,0.01151131,0,0,0,0,0.403521106,0.476049561,0,3.540392049,1.431363764
