g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0.023255814,0,0.018115942,0.021447721,0.066666667,0,0,0.004048583,0.007692308,0,0.073775569,0,0.106953261,0.489838874,0.214632554,0,0,0.078851137,0.035948605,0,3.176470377,1.255272505
0.023255814,0,0.018115942,0.018766756,0,0.003571429,0.018691589,0.006072874,0.046153846,0,0.042987758,0,0.146743587,0.081879035,0,0.019651546,0.007589687,0.679441376,0.021707011,0,3.442202171,1.397940009
0,0,0.025362319,0.024128686,0.066666667,0.017857143,0.009345794,0.030364372,0.053846154,0,0,0,0.136005652,0.136334261,0.003605567,0.121333275,0.005431171,0.256630593,0.340659481,0,3.738593486,1.653212514
0.023255814,0.057692308,0.036231884,0.042895442,0.066666667,0.032142857,0.028037383,0.044534413,0.1,0,0.02160917,0.016534689,0.060469185,0.100826308,0.01597029,0.061263777,0.016928575,0.431746876,0.274651129,0,3.768241358,1.892094603
0,0,0.050724638,0.037533512,0.133333333,0.042857143,0.028037383,0.006072874,0.038461538,0,0,0,0.30094307,0.258517953,0.164824376,0.16926777,0.013457037,0.031943086,0.061046709,0,3.760015896,1.72427587
0,0,0,0,0,0,0,0.004048583,0.061538462,0,0,0,0,0,0,0,0,0.772305101,0.227694899,0,3.238913825,1
0.046511628,0.038461538,0,0.002680965,0,0,0,0.006072874,0.023076923,0,0.647025026,0.039179921,0,0.024095287,0,0,0,0.145875894,0.143823873,0,3.040000714,1.041392685
0,0,0.057971014,0.013404826,0,0.025,0.018691589,0.01417004,0.107692308,0,0,0,0.356071117,0.038511947,0,0.081132016,0.073383529,0.335397186,0.115504205,0,3.645950569,1.707570176
0,0,0.003623188,0.002680965,0,0.010714286,0.037383178,0.006072874,0,0,0,0,0.008300936,0.006761263,0,0.094661843,0.865765857,0,0.024510099,0,3.682389693,1.079181246
0,0,0.047101449,0.058981233,0.066666667,0.05,0,0.030364372,0.015384615,0,0,0,0.10695232,0.242780928,0.129503597,0.174698281,0,0.049325371,0.296739504,0,3.775970694,1.826074803
0.023255814,0.057692308,0.101449275,0.077747989,0.066666667,0.082142857,0.046728972,0.024291498,0.192307692,0,0.004086657,0.002295112,0.483484006,0.135048351,0.015473367,0.057233927,0.006401779,0.209764434,0.086212367,0,4.623047814,2.103803721
0,0.019230769,0.032608696,0.075067024,0.2,0.032142857,0.018691589,0.020242915,0.023076923,0,0,0.0193653,0.061559595,0.462616897,0.194807188,0.060529356,0.00897763,0.078700671,0.113443362,0,3.944190412,1.812913357
0,0,0.003623188,0,0,0.003571429,0,0.016194332,0,0,0,0,0.170714812,0,0,0.065552971,0,0,0.763732217,0,3.137167312,1
0.023255814,0.019230769,0.003623188,0.016085791,0.066666667,0.010714286,0.009345794,0.008097166,0.015384615,0,0.090499471,0.030932623,0.012803999,0.205476894,0.115566388,0.230098496,0.017980186,0.09268295,0.203958993,0,3.319815764,1.301029996
0,0,0.057971014,0.008042895,0.066666667,0,0,0.010121457,0.030769231,0,0,0,0.822699701,0.004330035,0.003634683,0,0,0.059098614,0.110236968,0,4.196017477,1.462397998
0,0,0.003623188,0.00536193,0,0.028571429,0.018691589,0.028340081,0.076923077,0,0,0,0.036157605,0.033637104,0,0.305465064,0.02387104,0.15860902,0.442260166,0,3.153607573,1.568201724
0,0,0,0.058981233,0.133333333,0.017857143,0.056074766,0.030364372,0.007692308,0,0,0,0,0.285951191,0.048583669,0.028030495,0.027166778,0.005218496,0.605049372,0,3.783787847,1.707570176
0.023255814,0,0.039855072,0.026809651,0.066666667,0.078571429,0.009345794,0.026315789,0.046153846,0,0.020439702,0,0.085974464,0.040647508,0.007245875,0.618760016,0.003487088,0.086630348,0.136814999,0,3.761812111,1.812913357
0.023255814,0,0.007246377,0.010723861,0.066666667,0.010714286,0.009345794,0.028340081,0.007692308,0,0.009189271,0,0.108072782,0.014916799,0.00119269,0.037823644,0.136386272,0.040168506,0.652250035,0,4.184735142,1.431363764
0,0,0.010869565,0.040214477,0.133333333,0.010714286,0,0.04048583,0.030769231,0,0,0,0.022381694,0.330342921,0.030564754,0.015499126,0,0.058498014,0.542713491,0,3.895767745,1.672097858
0,0.019230769,0.050724638,0.021447721,0,0.007142857,0.009345794,0.006072874,0,0,0,0.007487876,0.841845107,0.03958321,0,0.014970102,0.002753934,0,0.093359771,0,3.549051105,1.462397998
0.093023256,0.057692308,0.039855072,0.021447721,0.133333333,0.010714286,0,0.036437247,0.038461538,0,0.182137193,0.009373774,0.14039385,0.070185182,0.136137314,0.024827722,0,0.194515824,0.242429141,0,3.859635379,1.73239376
0,0.019230769,0.039855072,0.024128686,0.066666667,0.035714286,0.009345794,0.018218623,0.053846154,0,0,0.014819494,0.21350728,0.061423848,0.0249337,0.336784974,0.003332997,0.154161412,0.191036295,0,3.686680054,1.69019608
0,0.076923077,0.039855072,0.042895442,0.066666667,0.017857143,0,0.006072874,0.015384615,0,0,0.053696446,0.31230424,0.272317286,0.130858727,0.108039565,0,0.068907346,0.05387639,0,3.250012355,1.62324929
0,0,0.018115942,0.010723861,0.066666667,0.032142857,0.009345794,0.032388664,0.061538462,0,0,0,0.1045061,0.328155461,0.169119776,0.134074235,0.00080424,0.110498221,0.152841968,0,3.668645856,1.643452676
0.023255814,0,0.025362319,0.016085791,0.066666667,0.039285714,0,0.006072874,0,0,0.044827311,0,0.187454608,0.090686692,0.058695977,0.540335892,0,0,0.07799952,0,3.459047026,1.462397998
0,0,0.003623188,0.008042895,0.066666667,0.010714286,0,0.002024291,0.023076923,0,0,0,0.003848995,0.167535291,0.045407733,0.522683061,0,0.141996692,0.118528228,0,3.28388442,1.079181246
0,0,0.047101449,0.09919571,0.2,0.035714286,0.009345794,0.012145749,0,0,0,0,0.13152351,0.562940096,0.169990992,0.118587592,0.003296578,0,0.013661231,0,4.479323038,1.84509804
