g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0,0.061594203,0.101876676,0,0.05,0.018691589,0.036437247,0.007692308,0,0,0,0.190200761,0.344651554,0,0.291787254,0.008440384,0.003801868,0.16111818,0,4.156638484,1.954242509
0,0,0.028985507,0.010723861,0,0.007142857,0,0,0,0,0,0,0.7695886,0.039375242,0,0.191036158,0,0,0,0,3.356454201,1.146128036
0.023255814,0,0.02173913,0.018766756,0.133333333,0.003571429,0,0,0.007692308,0,0.28852188,0,0.126972587,0.310394441,0.100232654,0.008755147,0,0.165123291,0,0,3.116162597,1.255272505
0,0,0.028985507,0.040214477,0.133333333,0.025,0.018691589,0.018218623,0.015384615,0,0,0,0.256767544,0.266086948,0.039492721,0.163119506,0.015874916,0.034653416,0.224004949,0,3.301988727,1.653212514
0,0,0.032608696,0.109919571,0.2,0.078571429,0.028037383,0.016194332,0.046153846,0,0,0,0.076628974,0.243489115,0.040913621,0.438122904,0.018463441,0.065956316,0.116425628,0,4.422222849,1.963787827
0,0.096153846,0,0.067024129,0.2,0.007142857,0.018691589,0.004048583,0.015384615,0,0,0.022985159,0,0.562552929,0.182627656,0.037966299,0.034752244,0.153007675,0.006108038,0,3.653115028,1.612783857
0,0.019230769,0.014492754,0.010723861,0,0,0,0.002024291,0.007692308,0,0,0.037684885,0.449647721,0.238719755,0,0,0,0.141936639,0.132011,0,2.788571357,1.041392685
0.023255814,0.038461538,0.057971014,0.024128686,0.133333333,0.132142857,0.028037383,0.052631579,0.038461538,0,0.000396294,0.005478595,0.064787433,0.06884584,0.041088392,0.643139121,0.003700619,0.004878271,0.167685435,0,4.572830377,2.004321374
0,0,0.014492754,0.010723861,0,0.007142857,0,0.012145749,0,0,0,0,0.421493326,0.114019003,0,0.080013336,0,0,0.384474335,0,2.892022214,1.204119983
0,0.019230769,0.007246377,0.024128686,0,0.003571429,0.009345794,0.008097166,0.007692308,0,0,0.027204238,0.163657542,0.379656941,0,0.056738122,0.028697841,0.047607417,0.296437898,0,3.027161985,1.278753601
0,0,0.018115942,0.034852547,0,0.021428571,0.009345794,0.012145749,0.015384615,0,0,0,0.220906245,0.194272262,0,0.248700337,0.004514234,0.103274033,0.228332888,0,3.313898843,1.51851394
0.069767442,0.019230769,0.061594203,0.048257373,0.133333333,0.05,0.037383178,0.026315789,0.107692308,0,0.027323743,0.000559902,0.224394396,0.107310478,0.009247107,0.135527781,0.010246068,0.317987281,0.167403244,0,4.173054211,1.934498451
0,0,0.014492754,0.045576408,0.133333333,0.035714286,0.08411215,0.046558704,0.184615385,0,0,0,0.019967324,0.183331945,0.044223554,0.091460141,0.044341062,0.375472345,0.241203629,0,4.589849557,1.949390007
0,0,0.02173913,0,0,0,0,0.01417004,0.030769231,0,0,0,0.233638611,0,0,0,0,0.088489108,0.677872281,0,3.109328764,1.230448921
0,0.038461538,0.039855072,0.021447721,0.066666667,0.003571429,0.009345794,0,0,0,0,0.021109215,0.668314598,0.189825986,0.055499971,0.041394464,0.023855767,0,0,0,2.707340195,1.380211242
0,0,0,0,0,0.010714286,0,0.006072874,0.030769231,0,0,0,0,0,0,0.08141766,0,0.638002981,0.280579359,0,3.030842503,1
0.023255814,0,0.036231884,0.024128686,0.133333333,0.014285714,0,0.026315789,0.015384615,0,0.073710321,0,0.216572515,0.067778355,0.071697641,0.040536461,0,0.04623996,0.483464747,0,3.565457014,1.612783857
